Model,L_train,L_val,A_train,A_val,tf(L_train),tf(L_val),tf(A_train),tf(A_val),dt(L),dt(A)
gpt,1.51e-04 ± 1.01e-05,5.60e-04 ± 9.11e-05,1.00e+00 ± 0.00e+00,1.00e+00 ± 0.00e+00,9650.0,9900.5,82.5,8800.0,250.5,8717.5
LSTM,9.36e-05 ± 2.93e-05,2.93e-03 ± 2.24e-03,1.00e+00 ± 0.00e+00,1.00e+00 ± 0.00e+00,10001.0,10001.0,300.0,8700.0,0.0,8400.0
